# 2025-02-10 20:38:28 /Users/victor/.pyenv/versions/3.12.7/bin/psfexportunicodes
# -o ESTRM.csv --allglyphs Estrangelo Marcus-Regular.ufo

.notdef,
.null,
A,0041
AE,00C6
Aacute,00C1
Acircumflex,00C2
Adieresis,00C4
Agrave,00C0
Amacron,0100
Aring,00C5
Atilde,00C3
B,0042
C,0043
CR,000D
Ccedilla,00C7
D,0044
E,0045
Eacute,00C9
Ecircumflex,00CA
Edieresis,00CB
Egrave,00C8
Emacron,0112
Eth,00D0
F,0046
G,0047
H,0048
I,0049
Iacute,00CD
Icircumflex,00CE
Idieresis,00CF
Igrave,00CC
Imacron,012A
J,004A
K,004B
L,004C
M,004D
N,004E
Ntilde,00D1
O,004F
Oacute,00D3
Ocircumflex,00D4
Odieresis,00D6
Ograve,00D2
Omacron,014C
Oslash,00D8
Otilde,00D5
P,0050
Q,0051
R,0052
S,0053
T,0054
Thorn,00DE
U,0055
U0047U0331,0119
U0050U0331,011F
U0067U0331,011A
U0070U0331,0120
U02c0,02C0
U02c1,02C1
U02d2,02D2
U02d3,02D3
U0303,0303
U0304,0304
U0307,0307
U0308,0308
U030a,030A
U0323,0323
U0324,0324
U0325,0325
U032d,032D
U032e,032E
U0330,0330
U0331,0331
U060c,060C
U061b,061B
U061f,061F
U0621,0621
U0640,0640
U0640Half,
U0640Quart,
U0640ThreeQuart,
U064b,064B
U064c,064C
U064d,064D
U064e,064E
U064f,064F
U0650,0650
U0651,0651
U0652,0652
U0653,0653
U0654,0654
U0655,0655
U0656,0656
U0660,0660
U0661,0661
U0662,0662
U0663,0663
U0664,0664
U0665,0665
U0666,0666
U0667,0667
U0668,0668
U0669,0669
U0670,0670
U0700,0700
U0701,0701
U0702,0702
U0703,0703
U0704,0704
U0705,0705
U0706,0706
U0707,0707
U0708,0708
U0709,0709
U070a,070A
U070b,070B
U070c,070C
U070d,070D
U070f,070F
U0710,0710
U0710Fina1,
U0710Fina2,
U0710Fina3,
U0710Medi2,
U0711,0711
U0712,0712
U0712Fina,
U0712Init,
U0712Medi,
U0713,0713
U0713Fina,
U0713Init,
U0713Medi,
U0714,0714
U0714Fina,
U0714Init,
U0714Medi,
U0715,0715
U0715Fina,
U0716,0716
U0716Fina,
U0717,0717
U0717Fina,
U0718,0718
U0718Fina,
U0719,0719
U0719Fina,
U071a,071A
U071aFina,
U071aInit,
U071aMedi,
U071b,071B
U071bFina,
U071bInit,
U071bMedi,
U071c,071C
U071cFina,
U071cInit,
U071cMedi,
U071d,071D
U071dFina,
U071dInit,
U071dIsol2,
U071dMedi,
U071e,071E
U071eFina,
U071f,071F
U071fFina,
U071fInit,
U071fMedi,
U0720,0720
U0720Fina,
U0720Init,
U0720Medi,
U0720U0710Fina,
U0720U0710Isol,
U0721,0721
U0721Fina,
U0721Init,
U0721Medi,
U0722,0722
U0722Fina,
U0722Init,
U0722Isol2,
U0722Medi,
U0723,0723
U0723Fina,
U0723Init,
U0723Medi,
U0724,0724
U0724Fina,
U0724Init,
U0724Medi,
U0725,0725
U0725Fina,
U0725Init,
U0725Medi,
U0726,0726
U0726Fina,
U0726Init,
U0726Medi,
U0727,0727
U0727Fina,
U0727Init,
U0727Medi,
U0728,0728
U0728Fina,
U0728U0722Fina,
U0728U0722Isol,
U0729,0729
U0729Fina,
U0729Init,
U0729Medi,
U072a,072A
U072aFina,
U072aU0308Fina,
U072aU0308Isol,
U072b,072B
U072bFina,
U072bInit,
U072bMedi,
U072c,072C
U072cFina,
U072cU0710Fina,
U072cU0710Isol,
U0730,0730
U0731,0731
U0732,0732
U0733,0733
U0734,0734
U0735,0735
U0736,0736
U0737,0737
U0738,0738
U0739,0739
U073a,073A
U073b,073B
U073c,073C
U073d,073D
U073e,073E
U073f,073F
U0740,0740
U0741,0741
U0742,0742
U0743,0743
U0744,0744
U0745,0745
U0746,0746
U0747,0747
U0748,0748
U0749,0749
U074a,074A
U1e06,1E06
U1e07,1E07
U1e0c,1E0C
U1e0d,1E0D
U1e0e,1E0E
U1e0f,1E0F
U1e24,1E24
U1e25,1E25
U1e34,1E34
U1e35,1E35
U1e62,1E62
U1e63,1E63
U1e6c,1E6C
U1e6d,1E6D
U1e6e,1E6E
U1e6f,1E6F
U1e92,1E92
U1e93,1E93
U200c,200C
U200d,200D
U200e,200E
U200f,200F
U25cc,25CC
U2670,2670
U2671,2671
Uacute,00DA
Ucircumflex,00DB
Udieresis,00DC
Ugrave,00D9
Umacron,016A
V,0056
W,0057
X,0058
Y,0059
Yacute,00DD
Z,005A
a,0061
aacute,00E1
acircumflex,00E2
acute,00B4
adieresis,00E4
ae,00E6
agrave,00E0
amacron,
ampersand,0026
aring,00E5
asciicircum,005E
asciitilde,007E
asterisk,002A
at,0040
atilde,00E3
b,0062
backslash,005C
bar,007C
braceleft,007B
braceright,007D
bracketleft,005B
bracketright,005D
brokenbar,00A6
bullet,
bulletmath,
c,0063
ccedilla,00E7
cedilla,00B8
cent,00A2
colon,003A
comma,002C
copyright,00A9
currency,00A4
d,0064
degree,00B0
dieresis,00A8
divide,00F7
dollar,0024
e,0065
eacute,00E9
ecircumflex,00EA
edieresis,00EB
egrave,00E8
eight,0038
emacron,0113
endash,
equal,003D
eth,00F0
exclam,0021
exclamdown,00A1
f,0066
five,0035
four,0034
g,0067
germandbls,00DF
grave,0060
greater,003E
guillemotleft,00AB
guillemotright,00BB
h,0068
hyphen,2010
i,0069
iacute,00ED
icircumflex,00EE
idieresis,00EF
igrave,00EC
imacron,012B
j,006A
k,006B
l,006C
less,003C
logicalnot,00AC
m,006D
middot,25EF
mu1,0103
multiply,00D7
n,006E
nine,0039
noName00004,
noName00005,0101
noName00212,2022
noName00433,
noName00434,
noName00435,
noName00436,
noName00437,
noName00438,
noName00439,
noName00440,
noName00441,
noName00442,
noName00443,
noName00444,
noName00445,
noName00446,
noName00447,
noName00448,
noName00449,
noName00450,
noName00451,
noName00452,
noName00453,
noName00454,
noName00455,
noName00456,
noName00457,
noName00458,
noName00459,
noName00460,
noName00461,
noName00462,
noName00463,
noName00464,
noName00465,
noName00466,
noName00467,
noName00468,
noName00469,
noName00470,
noName00471,
